report_date,killed_cum,killed_children_cum,injured_cum,injured_children_cum,settler_attacks
2024-02-28,404,102,4592,708,595
2024-02-27,403,102,4590,708,590
2024-02-26,400,102,4575,707,586
2024-02-23,399,102,4545,702,583
2024-02-22,397,101,4530,702,577
2024-02-21,394,100,4528,702,573
2024-02-20,393,100,4522,702,561
2024-02-19,393,100,4511,699,558
2024-02-16,389,100,4503,698,552
2024-02-15,389,100,4499,697,537
2024-02-14,388,99,4475,686,532
2024-02-13,388,99,4475,686,527
2024-02-09,384,97,4443,672,516
2024-02-08,383,96,4433,671,514
2024-02-07,377,96,4426,670,512
2024-02-06,374,96,4417,670,507
2024-02-05,373,95,4415,670,506
2024-02-04,372,94,4408,669,498
2024-02-02,372,94,4391,661,495
2024-02-01,372,94,4391,661,494
2024-01-31,370,94,4387,660,494
2024-01-30,370,94,4386,660,477
2024-01-29,367,94,4382,660,472
2024-01-28,362,92,4366,657,464
2024-01-26,361,92,4358,657,460
2024-01-25,361,92,4354,657,457
2024-01-24,360,92,4353,657,456
2024-01-23,360,92,4348,656,452
2024-01-22,358,91,4334,654,444
2024-01-21,358,91,4313,647,441
2024-01-19,358,91,4310,647,439
2024-01-18,357,90,4252,645,433
2024-01-17,355,90,4234,643,431
2024-01-16,344,88,4215,642,430
2024-01-15,344,88,4212,637,421
2024-01-14,339,88,4197,635,413
2024-01-12,333,84,4176,631,413
2024-01-11,332,84,4157,630,404
2024-01-10,331,84,4148,627,396
2024-01-09,330,84,4097,622,391
2024-01-08,329,84,4068,614,386
2024-01-07,326,84,4042,606,381
2024-01-05,315,81,4021,604,381
2024-01-04,314,80,4052,593,381
2024-01-03,313,80,4052,593,376
2024-01-02,313,80,4052,593,372
2023-12-30,307,79,3925,582,370
2023-12-29,307,79,3925,582,370
2023-12-28,304,79,3915,580,370
2023-12-27,300,79,3908,576,367
2023-12-26,295,77,3909,576,367
2023-12-22,293,76,3907,575,353
2023-12-21,293,76,3907,575,353
2023-12-20,291,75,3771,562,353
2023-12-19,291,75,3765,562,351
2023-12-18,291,75,3740,561,347
2023-12-16,278,70,3710,552,344
2023-12-15,278,70,3710,552,344
2023-12-14,276,70,3605,549,343
2023-12-13,271,69,3591,541,343
2023-12-12,271,69,3584,541,336
2023-12-11,265,69,3574,535,331
2023-12-10,265,69,3533,535,331
2023-12-09,265,69,3533,535,331
2023-12-08,263,68,3489,535,330
2023-12-07,256,67,3470,533,320
2023-12-06,253,66,3443,530,318
2023-12-05,249,65,3427,528,318
2023-12-04,246,65,3415,520,314
2023-12-03,244,65,3379,520,308
2023-12-02,243,65,3368,516,305
2023-12-01,241,63,3327,509,302
2023-11-30,241,63,3283,509,299
2023-11-29,238,63,3224,508,295
2023-11-28,232,61,3192,500,287
2023-11-27,231,59,3184,496,287
2023-11-26,222,58,2995,369,284
2023-11-25,215,55,2885,364,281
2023-11-24,213,55,2885,364,281
2023-11-23,211,54,2874,364,281
2023-11-22,209,52,2836,364,277
2023-11-21,201,52,2818,355,271
2023-11-20,201,52,2815,355,256
2023-11-19,200,52,2807,355,254
2023-11-18,198,52,2782,347,253
2023-11-17,191,51,2688,287,251
2023-11-16,186,51,2665,282,248
2023-11-15,183,47,2659,279,246
2023-11-14,182,46,2654,278,244
2023-11-13,173,46,2629,275,241
2023-11-12,172,46,2590,267,241
2023-11-11,169,46,2630,262,235
2023-11-10,168,46,2618,253,233
2023-11-09,167,45,2558,253,230
2023-11-08,150,44,2461,253,222
2023-11-07,150,44,2439,251,218
2023-11-06,147,44,2404,248,208
2023-11-05,141,43,2386,244,202
2023-11-04,136,43,2362,241,198
2023-11-03,135,42,2309,239,195
2023-11-02,132,41,2221,236,186
2023-11-01,128,35,2214,234,186
2023-10-31,123,34,2159,201,178
2023-10-30,121,33,2158,201,171
2023-10-29,115,33,2150,193,167
2023-10-28,109,33,2011,180,154
2023-10-27,108,33,1970,174,146
2023-10-26,103,32,1916,168,146
2023-10-25,102,31,1859,160,138
2023-10-24,95,28,1803,160,136
2023-10-23,95,28,1708,157,120
2023-10-22,91,27,1704,157,113
2023-10-21,84,27,1658,150,103
2023-10-20,88,26,1396,134,102
2023-10-19,79,20,1404,129,100
2023-10-18,64,18,1264,122,86
2023-10-17,61,16,1230,117,82
2023-10-16,61,15,1176,113,70
2023-10-15,61,15,1173,113,70
2023-10-14,54,13,1150,106,67
2023-10-13,43,8,700,92,63
2023-10-12,33,5,500,81,49
2023-10-11,26,3,427,62,39
2023-10-10,19,3,332,39,29
2023-10-09,15,4,295,34,19
2023-10-08,13,1,194,1,9
2023-10-07,3,0,23,1,3
